"OBJECTID","Oceans","Regions","SubRegions","Sampling.Method","Microplastics.Measurement.Density","Unit","Density.Class.Range","Concentration.Class","Latitude","Longitude","Date","x","y"
22264,"Atlantic Ocean","Gulf of Mexico","Tampa Bay","Shipek grab sampler",790,"pieces kg-1 d.w.",">200","Very High",27.941,-82.445,"21/03/2017",-9177731.745,3241530.973
22221,"Atlantic Ocean","Gulf of Mexico","Tampa Bay","Van Dorn sampler",0,"pieces/m3","0-0.0005","Very Low",27.9418,-82.4585,"23/08/2016",-9179238.232,3241638.081
22220,"Atlantic Ocean","Gulf of Mexico","Tampa Bay","Van Dorn sampler",0,"pieces/m3","0-0.0005","Very Low",27.9418,-82.4585,"13/07/2016",-9179238.232,3241638.081
22219,"Atlantic Ocean","Gulf of Mexico","Tampa Bay","Van Dorn sampler",0,"pieces/m3","0-0.0005","Very Low",27.9418,-82.4585,"09/06/2016",-9179238.232,3241638.081
22222,"Atlantic Ocean","Gulf of Mexico","Tampa Bay","Van Dorn sampler",1000,"pieces/m3",">=10","Very High",27.9418,-82.4585,"14/09/2016",-9179238.232,3241638.081
22083,"Atlantic Ocean","Gulf of Mexico","Tampa Bay","Van Dorn sampler",0,"pieces/m3","0-0.0005","Very Low",27.9237,-82.4807,"08/05/2017",-9181709.524,3239357.507
22078,"Atlantic Ocean","Gulf of Mexico","Tampa Bay","Van Dorn sampler",2000,"pieces/m3",">=10","Very High",27.9237,-82.4807,"11/07/2016",-9181709.524,3239357.507
22085,"Atlantic Ocean","Gulf of Mexico","Tampa Bay","Van Dorn sampler",4000,"pieces/m3",">=10","Very High",27.9237,-82.4807,"10/07/2017",-9181709.524,3239357.507
22080,"Atlantic Ocean","Gulf of Mexico","Tampa Bay","Van Dorn sampler",1000,"pieces/m3",">=10","Very High",27.9237,-82.4807,"12/09/2016",-9181709.524,3239357.507
22079,"Atlantic Ocean","Gulf of Mexico","Tampa Bay","Van Dorn sampler",0,"pieces/m3","0-0.0005","Very Low",27.9237,-82.4807,"09/08/2016",-9181709.524,3239357.507
22084,"Atlantic Ocean","Gulf of Mexico","Tampa Bay","Van Dorn sampler",1000,"pieces/m3",">=10","Very High",27.9237,-82.4807,"13/06/2017",-9181709.524,3239357.507
22081,"Atlantic Ocean","Gulf of Mexico","Tampa Bay","Van Dorn sampler",2000,"pieces/m3",">=10","Very High",27.9237,-82.4807,"11/10/2016",-9181709.524,3239357.507
22125,"Atlantic Ocean","Gulf of Mexico","Tampa Bay","Van Dorn sampler",1000,"pieces/m3",">=10","Very High",27.897,-82.4382,"10/07/2017",-9176978.446,3235994.042
22120,"Atlantic Ocean","Gulf of Mexico","Tampa Bay","Van Dorn sampler",1000,"pieces/m3",">=10","Very High",27.897,-82.4382,"11/10/2016",-9176978.446,3235994.042
22123,"Atlantic Ocean","Gulf of Mexico","Tampa Bay","Van Dorn sampler",1000,"pieces/m3",">=10","Very High",27.897,-82.4382,"08/05/2017",-9176978.446,3235994.042
22118,"Atlantic Ocean","Gulf of Mexico","Tampa Bay","Van Dorn sampler",0,"pieces/m3","0-0.0005","Very Low",27.897,-82.4382,"09/08/2016",-9176978.446,3235994.042
22121,"Atlantic Ocean","Gulf of Mexico","Tampa Bay","Van Dorn sampler",2000,"pieces/m3",">=10","Very High",27.897,-82.4382,"07/11/2016",-9176978.446,3235994.042
22116,"Atlantic Ocean","Gulf of Mexico","Tampa Bay","Van Dorn sampler",0,"pieces/m3","0-0.0005","Very Low",27.897,-82.4382,"14/06/2016",-9176978.446,3235994.042
22119,"Atlantic Ocean","Gulf of Mexico","Tampa Bay","Van Dorn sampler",0,"pieces/m3","0-0.0005","Very Low",27.897,-82.4382,"12/09/2016",-9176978.446,3235994.042
18427,"Atlantic Ocean","Gulf of Mexico","","Hand picking",NA,"pieces/10 mins","0","Very Low",27.9504,-82.5461,"16/08/2020",-9188989.819,3242721.802
22055,"Atlantic Ocean","Gulf of Mexico","Tampa Bay","Van Dorn sampler",3000,"pieces/m3",">=10","Very High",27.9687,-82.5621,"05/07/2017",-9190770.931,3245028.149
22054,"Atlantic Ocean","Gulf of Mexico","Tampa Bay","Van Dorn sampler",1000,"pieces/m3",">=10","Very High",27.9687,-82.5621,"05/06/2017",-9190770.931,3245028.149
22051,"Atlantic Ocean","Gulf of Mexico","Tampa Bay","Van Dorn sampler",0,"pieces/m3","0-0.0005","Very Low",27.9687,-82.5621,"03/10/2016",-9190770.931,3245028.149
22049,"Atlantic Ocean","Gulf of Mexico","Tampa Bay","Van Dorn sampler",0,"pieces/m3","0-0.0005","Very Low",27.9687,-82.5621,"08/06/2016",-9190770.931,3245028.149
22053,"Atlantic Ocean","Gulf of Mexico","Tampa Bay","Van Dorn sampler",4000,"pieces/m3",">=10","Very High",27.9687,-82.5621,"10/04/2017",-9190770.931,3245028.149
22050,"Atlantic Ocean","Gulf of Mexico","Tampa Bay","Van Dorn sampler",0,"pieces/m3","0-0.0005","Very Low",27.9687,-82.5621,"01/08/2016",-9190770.931,3245028.149
22046,"Atlantic Ocean","Gulf of Mexico","Tampa Bay","Van Dorn sampler",0,"pieces/m3","0-0.0005","Very Low",27.9185,-82.5379,"10/04/2017",-9188076.999,3238702.385
22047,"Atlantic Ocean","Gulf of Mexico","Tampa Bay","Van Dorn sampler",0,"pieces/m3","0-0.0005","Very Low",27.9185,-82.5379,"05/06/2017",-9188076.999,3238702.385
22224,"Atlantic Ocean","Gulf of Mexico","Tampa Bay","Plankton net",2.6,"pieces/m3","1-10","High",27.9185,-82.5379,"01/11/2016",-9188076.999,3238702.385
22044,"Atlantic Ocean","Gulf of Mexico","Tampa Bay","Van Dorn sampler",0,"pieces/m3","0-0.0005","Very Low",27.9185,-82.5379,"03/10/2016",-9188076.999,3238702.385
22045,"Atlantic Ocean","Gulf of Mexico","Tampa Bay","Van Dorn sampler",1000,"pieces/m3",">=10","Very High",27.9185,-82.5379,"01/11/2016",-9188076.999,3238702.385
22077,"Atlantic Ocean","Gulf of Mexico","Tampa Bay","Van Dorn sampler",0,"pieces/m3","0-0.0005","Very Low",27.9237,-82.4807,"14/06/2016",-9181709.524,3239357.507
22082,"Atlantic Ocean","Gulf of Mexico","Tampa Bay","Van Dorn sampler",0,"pieces/m3","0-0.0005","Very Low",27.9237,-82.4807,"11/04/2017",-9181709.524,3239357.507
22043,"Atlantic Ocean","Gulf of Mexico","Tampa Bay","Van Dorn sampler",2000,"pieces/m3",">=10","Very High",27.9185,-82.5379,"01/08/2016",-9188076.999,3238702.385
22225,"Atlantic Ocean","Gulf of Mexico","Tampa Bay","Plankton net",5.4,"pieces/m3","1-10","High",27.9185,-82.5379,"10/04/2017",-9188076.999,3238702.385
22042,"Atlantic Ocean","Gulf of Mexico","Tampa Bay","Van Dorn sampler",4000,"pieces/m3",">=10","Very High",27.9185,-82.5379,"08/06/2016",-9188076.999,3238702.385
22048,"Atlantic Ocean","Gulf of Mexico","Tampa Bay","Van Dorn sampler",0,"pieces/m3","0-0.0005","Very Low",27.9185,-82.5379,"05/07/2017",-9188076.999,3238702.385
22226,"Atlantic Ocean","Gulf of Mexico","Tampa Bay","Plankton net",8.2,"pieces/m3","1-10","High",27.9185,-82.5379,"05/06/2017",-9188076.999,3238702.385
22223,"Atlantic Ocean","Gulf of Mexico","Tampa Bay","Plankton net",4.1,"pieces/m3","1-10","High",27.9185,-82.5379,"03/10/2016",-9188076.999,3238702.385
22227,"Atlantic Ocean","Gulf of Mexico","Tampa Bay","Plankton net",2.6,"pieces/m3","1-10","High",27.9185,-82.5379,"05/07/2017",-9188076.999,3238702.385
